DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-297114,18495 Fairport,2021-04-16,2000,Demo Pull Sale,18400-18599 Fairport St,3,Von Steuben,48205,18495,,FAIRPORT,St,21031436.,223770,-82.9913726056168,42.4307264749191,2153,-9238557.3386921,5225720.15075828
A-242591,12000 Gunston,2019-08-01,1000,Demo Pull Sale,12000-12399 Gunston St,4,Gratiot-Findlay,48205,12000,,GUNSTON,St,21036434-6,233593,-82.9993378098886,42.4149079209484,2154,-9239444.0211757,5223334.69289766
A-272535,18662 Fenelon,2020-10-23,2600,Own It Now,18600-18799 Fenelon St,3,Krainz Woods,48234,18662,,FENELON,St,13016976-7,296025,-83.0529083761451,42.4307406950363,2155,-9245407.46933288,5225722.29544067
A-293855,12628 Barlow,2021-03-11,1400,Demo Pull Sale,12600-17099 Barlow St,4,Gratiot-Findlay,48205,12628,,BARLOW,St,21033051.,229166,-82.9933125046906,42.421900036057,2156,-9238773.28726918,5224389.03844249
A-293927,6571 Boxwood,2021-03-04,7300,Own It Now,6500-6639 Boxwood St,6,Midwest,48210,6571,,BOXWOOD,St,16011254.,192712,-83.1173441500191,42.3529182001694,2157,-9252580.4268694,5213992.35868489
A-304393,14621 Burgess,2021-06-10,1000,Own It Now,14500-14799 Burgess St,1,Brightmoor,48223,14621,,BURGESS,St,22112394.,134012,-83.2544985239833,42.3948820486466,2158,-9267848.38193917,5220315.62898741
A-396404,4780 Garland,2024-04-04,8000,Own It Now,4700-4999 Garland St,4,West End,48214,4780,,GARLAND,St,21037891-2,301302,-82.9924898202573,42.3826454745909,2159,-9238681.70645698,5218471.33960687
A-188722,7510 Burnette,2018-11-13,10500,Own It Now,7400-7699 Burnette St,6,Midwest,48210,7510,,BURNETTE,St,18013215.,183528,-83.14053292846,42.3488446163857,2160,-9255161.78987756,5213378.7606597
A-334907,7008 Sarena,2022-07-27,15500,Own It Now,7000-7099 Sarena St,6,Claytown,48210,7008,,SARENA,St,18003956.,174980,-83.1403786291398,42.3438435377739,2161,-9255144.61335581,5212625.50980446
A-301754,13982 Northlawn,2021-06-17,1000,Own It Now,13900-14199 Northlawn St,7,Davison-Schoolcraft,48238,13982,,NORTHLAWN,St,16031698.,544592,-83.1527076000159,42.3898775501762,2162,-9256517.06811574,5219561.310414
