Tract,State,County_name,GISJOIN,GISJOIN2,GeoRecType,Total_Population,White_Population,Black_Population,Occupied_Housing_Units,Occupied_Housing_Units_Owner,Occupied_Housing_Units_Renter,Count_Owner_Occupied_units,Avg_Value_OO_units,Count_Black_OO_units,Avg_Value_Black_OO_units,Count_Vacant_For_Sale_Only_Housing_Units,Avg_Vacant_For_Sale_Only,Total_Housing_Units,Count_Units_Value_Tabulated,less than 5k,5k_to_7499,7.5k_to_9999,10k_to_12499,12.5k_to_14999,15k_to_17499,17.5k_to_19999,20k_to_24999,25k_to_34999,35k_to_49999,50k_or_more,Tract_str,In city of Detroit?,% White Population,% Black Population,% Owner Occupied (OO) units,% Black OO units,Median_Housing_Value
934.1,MI,"Census Tract 934.1, Wayne County, Michigan",G2601630093401,2601630093401,1,3572,3553.0,0,1027.0,789.0,238,600.0,44235.4166666667,,,,,1051,600.0,0.0,5.0,5.0,4.0,35.0,4.0,4.0,44.0,59.0,192.0,248.0,934.1,No,99.46808510638297,0.0,76.82570593963,,45975.83072916667
934.2,MI,"Census Tract 934.2, Wayne County, Michigan",G2601630093402,2601630093402,1,1272,785.0,487,207.0,,,,,,,,,207,,,,,,,,,,,,,934.2,No,61.713836477987414,38.28616352201258,,,
934.3,MI,"Census Tract 934.3, Wayne County, Michigan",G2601630093403,2601630093403,1,4893,4893.0,0,1368.0,1011.0,357,972.0,34008.487654321,,,,,1396,972.0,5.0,0.0,12.0,4.0,11.0,23.0,37.0,85.0,363.0,403.0,29.0,934.3,No,100.0,0.0,73.90350877192982,,33525.318181818184
934.4,MI,"Census Tract 934.4, Wayne County, Michigan",G2601630093404,2601630093404,1,7835,7790.0,0,2316.0,1628.0,688,1612.0,27603.1327543424,,,,,2365,1612.0,0.0,0.0,6.0,43.0,51.0,96.0,153.0,293.0,719.0,251.0,0.0,934.4,No,99.4256541161455,0.0,70.29360967184802,,27287.67107093185
935.1,MI,"Census Tract 935.1, Wayne County, Michigan",G2601630093501,2601630093501,1,4547,4503.0,0,1298.0,1108.0,190,804.0,26069.0298507463,,,,,1319,804.0,17.0,4.0,20.0,36.0,17.0,58.0,35.0,78.0,496.0,43.0,0.0,935.1,No,99.03232900813722,0.0,85.36209553158706,,27771.9002016129
935.2,MI,"Census Tract 935.2, Wayne County, Michigan",G2601630093502,2601630093502,1,2805,2753.0,49,852.0,593.0,259,333.0,26135.8858858859,,,,,875,333.0,7.0,5.0,10.0,12.0,32.0,14.0,56.0,38.0,99.0,41.0,19.0,935.2,No,98.14616755793226,1.7468805704099821,69.60093896713614,,24078.131578947367
936,MI,"Census Tract 936, Wayne County, Michigan",G26016300936,26016300936,1,3705,3685.0,0,1113.0,978.0,135,478.0,30033.9958158996,,,,,1131,478.0,10.0,13.0,9.0,24.0,39.0,36.0,16.0,73.0,95.0,103.0,60.0,0936,No,99.46018893387314,0.0,87.87061994609164,,27052.426315789475
937,MI,"Census Tract 937, Wayne County, Michigan",G26016300937,26016300937,1,5388,5368.0,0,1455.0,1181.0,274,863.0,20802.4333719583,,,,,1473,863.0,0.0,25.0,16.0,88.0,67.0,134.0,140.0,212.0,137.0,33.0,11.0,0937,No,99.62880475129919,0.0,81.16838487972508,,19320.7
938.1,MI,"Census Tract 938.1, Wayne County, Michigan",G2601630093801,2601630093801,1,3566,3521.0,6,902.0,749.0,153,677.0,27136.2629246677,,,,,931,677.0,5.0,9.0,0.0,51.0,58.0,75.0,76.0,109.0,126.0,116.0,52.0,938.1,No,98.73808188446439,0.16825574873808188,83.03769401330376,,22981.05504587156
938.2,MI,"Census Tract 938.2, Wayne County, Michigan",G2601630093802,2601630093802,1,4182,4129.0,11,1213.0,1035.0,178,793.0,27971.3114754098,,,,,1239,793.0,0.0,6.0,6.0,49.0,47.0,104.0,105.0,144.0,117.0,138.0,77.0,938.2,No,98.73266379722621,0.2630320420851267,85.32563891178894,,22777.222222222223
939,MI,"Census Tract 939, Wayne County, Michigan",G26016300939,26016300939,1,2421,2421.0,0,856.0,510.0,346,454.0,20332.5991189427,,,,,885,454.0,11.0,19.0,23.0,48.0,30.0,38.0,114.0,82.0,44.0,40.0,5.0,0939,No,100.0,0.0,59.57943925233645,,18782.38157894737
940,MI,"Census Tract 940, Wayne County, Michigan",G26016300940,26016300940,1,8091,6496.0,1567,2173.0,1814.0,359,1076.0,17720.2602230483,204.0,17767.1568627451,,,2279,1076.0,27.0,32.0,56.0,148.0,142.0,206.0,188.0,129.0,112.0,36.0,0.0,0940,No,80.28673835125448,19.367198121369423,83.4790612057064,18.95910780669145,16619.497572815533
941,MI,"Census Tract 941, Wayne County, Michigan",G26016300941,26016300941,1,8030,8011.0,0,2099.0,1770.0,329,1439.0,20784.7463516331,,,,,2140,1439.0,23.0,46.0,89.0,149.0,138.0,178.0,177.0,313.0,183.0,122.0,21.0,0941,No,99.76338729763387,0.0,84.32586946164841,,18869.508474576272
942.1,MI,"Census Tract 942.1, Wayne County, Michigan",G2601630094201,2601630094201,1,7502,7486.0,0,1909.0,1683.0,226,1531.0,22121.1626387982,,,,,1980,1531.0,0.0,25.0,45.0,99.0,70.0,147.0,238.0,624.0,193.0,48.0,42.0,942.1,No,99.78672354038923,0.0,88.16134101623886,,21137.59294871795
942.2,MI,"Census Tract 942.2, Wayne County, Michigan",G2601630094202,2601630094202,1,3200,2441.0,737,974.0,686.0,288,658.0,17433.5106382979,124.0,12731.8548387097,,,1005,658.0,10.0,38.0,37.0,112.0,142.0,60.0,58.0,99.0,77.0,25.0,0.0,942.2,No,76.28125,23.03125,70.4312114989733,18.84498480243161,14831.81338028169
943.1,MI,"Census Tract 943.1, Wayne County, Michigan",G2601630094301,2601630094301,1,3088,2483.0,578,1016.0,897.0,119,277.0,18428.7003610108,89.0,15516.8539325843,,,1016,277.0,11.0,11.0,10.0,30.0,55.0,50.0,19.0,36.0,40.0,15.0,0.0,943.1,No,80.4080310880829,18.71761658031088,88.28740157480314,32.12996389891697,16099.56
943.2,MI,"Census Tract 943.2, Wayne County, Michigan",G2601630094302,2601630094302,1,5109,3711.0,1378,1476.0,978.0,498,938.0,21587.1535181237,206.0,18173.5436893204,,,1531,938.0,10.0,24.0,29.0,42.0,50.0,71.0,115.0,445.0,120.0,11.0,21.0,943.2,No,72.63652378156195,26.97201017811705,66.26016260162602,21.961620469083158,21443.531460674156
943.3,MI,"Census Tract 943.3, Wayne County, Michigan",G2601630094303,2601630094303,1,3943,3908.0,0,1193.0,963.0,230,656.0,15605.5640243902,,,,,1220,656.0,16.0,54.0,42.0,131.0,120.0,103.0,95.0,45.0,29.0,14.0,7.0,943.3,No,99.1123510017753,0.0,80.72087175188601,,14280.5375
