TRACTA,GISJOIN_y,Year,State Name,County Name,Geo_name,GISJOIN2,Total_Population,Total_Pop_White,Total_Pop_Black,Total_Pop_American_Indian,Total_Pop_Asian_Pacific_Islander,Total_Pop_Other,Percent_Pop_White,Percent_Pop_Black,Percent_Pop_American_Indian,Percent_Pop_Asian_Pacific_Islander,Percent_Pop_Other,Owner_Occupied_Housing_Units,Renter_Occupied_Housing_Units,Percent_Owner_Occupied_Housing_Units,Percent_Renter_Occupied_Housing_Units,Median_Owner_Costs_With_Mortgage,Median_Owner_Costs_Not_Mortgaged,Tract_numeric,In city of Detroit?,Owner occupied,Renter occupied,"American Indian, Eskimo, and Aleut",Asian and Pacific Islander,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, and Aleut",Owner occupied >> Asian and Pacific Islander,Owner occupied >> Other,Renter occupied >> White,Renter occupied >> Black,"Renter occupied >> American Indian, Eskimo, and Aleut",Renter occupied >> Asian and Pacific Islander,Renter occupied >> Other,"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$49,999","$50,000-$79,999","$80,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000 or more",Median value,% Black OO units
205104,G2600990205104,1980,Michigan,Macomb,Census Tract 2051.4,2600990205104,3960,3746,127,17,34,36,94.6,3.21,0.43,0.86,0.91,664,394,62.76,37.24,399,172,2051.4,No,664,394,7,4,657,0,3,0,0,349,34,4,0,0,0,3,2,7,9,12,11,109,447,29,2,0,1,60940,0.0
205105,G2600990205105,1980,Michigan,Macomb,Census Tract 2051.5,2600990205105,1658,1645,3,10,0,0,99.22,0.18,0.6,0,0,428,169,71.69,28.31,380,178,2051.5,No,440,181,4,0,436,0,0,0,0,180,0,0,0,0,1,3,11,16,13,23,21,73,175,40,18,2,2,56514,0.0
205106,G2600990205106,1980,Michigan,Macomb,Census Tract 2051.6,2600990205106,3110,3074,5,17,12,2,98.84,0.16,0.55,0.39,0.06,863,188,82.11,17.89,450,172,2051.6,No,851,176,4,2,845,0,0,0,0,170,0,0,0,0,2,5,6,14,12,24,29,108,314,12,3,0,0,56162,0.0
2052,G26009902052,1980,Michigan,Macomb,Census Tract 2052,2600990205200,3637,3562,38,9,6,22,97.94,1.04,0.25,0.16,0.6,939,295,76.09,23.91,461,172,2052.0,No,939,295,6,1,923,7,2,0,0,281,8,4,0,0,0,9,8,25,9,26,24,63,258,83,22,2,1,61744,0.7454739084132056
2053,G26009902053,1980,Michigan,Macomb,Census Tract 2053,2600990205300,1855,1848,0,2,0,5,99.62,0,0.11,0,0.27,481,80,85.74,14.26,474,199,2053.0,No,498,66,1,0,496,0,0,0,0,66,0,0,0,0,0,7,8,13,13,18,17,63,148,50,13,2,1,57601,0.0
205401,G2600990205401,1980,Michigan,Macomb,Census Tract 2054.1,2600990205401,9724,9600,16,34,42,32,98.72,0.16,0.35,0.43,0.33,3110,121,96.26,3.74,555,211,2054.1,No,3141,112,7,10,3107,0,7,9,0,111,0,0,1,0,5,38,14,24,12,19,13,51,732,635,66,1,1,75799,0.0
205402,G2600990205402,1980,Michigan,Macomb,Census Tract 2054.2,2600990205402,2651,2630,1,11,1,8,99.21,0.04,0.41,0.04,0.3,800,36,95.69,4.31,383,190,2054.2,No,752,59,4,0,748,0,0,0,0,57,0,0,0,0,0,3,12,9,36,49,77,172,275,33,14,3,1,49070,0.0
2055,G26009902055,1980,Michigan,Macomb,Census Tract 2055,2600990205500,1739,1707,2,11,5,14,98.16,0.12,0.63,0.29,0.81,291,431,40.3,59.7,388,173,2055.0,No,319,419,9,1,317,0,2,0,0,405,0,7,0,0,2,2,7,13,19,33,34,83,89,4,3,0,0,44157,0.0
205601,G2600990205601,1980,Michigan,Macomb,Census Tract 2056.1,2600990205601,3543,3470,14,2,39,18,97.94,0.4,0.06,1.1,0.51,659,516,56.09,43.91,485,219,2056.1,No,631,528,1,10,618,0,0,6,0,522,0,0,4,0,12,1,8,7,14,6,15,41,322,75,21,0,0,64627,0.0
205603,G2600990205603,1980,Michigan,Macomb,Census Tract 2056.3,2600990205603,4150,4124,3,3,7,13,99.37,0.07,0.07,0.17,0.31,1111,132,89.38,10.62,413,181,2056.3,No,1111,132,2,3,1101,0,0,0,0,132,0,0,0,0,2,7,16,36,35,57,49,172,527,115,21,1,1,58283,0.0
